	Match	HMDB	PubChem	ChEBI	KEGG	METLIN	SMILES	Comment	X4010.Dish.0.cGy.sGCR	X4015.Dish.0.cGy.sGCR	X4026.Dish.0.cGy.sGCR	X4104.Dish.0.cGy.sGCR	X4106.Dish.0.cGy.sGCR	X4181.Dish.0.cGy.sGCR	X4010.Dish.50.cGy.sGCR	X4015.Dish.50.cGy.sGCR	X4026.Dish.50.cGy.sGCR	X4104.Dish.50.cGy.sGCR	X4106.Dish.50.cGy.sGCR	X4181.Dish.50.cGy.sGCR	X4010.Dish.100.cGy.Gamma	X4015.Dish.100.cGy.Gamma	X4026.Dish.100.cGy.Gamma	X4104.Dish.100.cGy.Gamma	X4106.Dish.100.cGy.Gamma	X4181.Dish.100.cGy.Gamma	X4010.Rotation.0.cGy.sGCR	X4015.Rotation.0.cGy.sGCR	X4026.Rotation.0.cGy.sGCR	X4104.Rotation.0.cGy.sGCR	X4106.Rotation.0.cGy.sGCR	X4181.Rotation.0.cGy.sGCR	X4010.Rotation.50.cGy.sGCR	X4015.Rotation.50.cGy.sGCR	X4026.Rotation.50.cGy.sGCR	X4104.Rotation.50.cGy.sGCR	X4106.Rotation.50.cGy.sGCR	X4181.Rotation.50.cGy.sGCR	X4010.Rotation.100.cGy.Gamma	X4015.Rotation.100.cGy.Gamma	X4026.Rotation.100.cGy.Gamma	X4104.Rotation.100.cGy.Gamma	X4106.Rotation.100.cGy.Gamma	X4181.Rotation.100.cGy.Gamma	QC.4	QC.5	QC.6	QC.7	QC.8	QC.End	group1_mean	group2_mean	group2_group1_log2fc	pval	padj	differentially_expressed
CMP	Cytidine monophosphate	HMDB0000095	6131	17361	C00055	5143	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	1	22.1675741833121	19.7804256078008	20.3734955117302	20.5550572204347	20.8749149793886	21.0787732812666	21.363863659777	20.3687156546417	20.0192092319768	20.19733348997	20.6166295291749	20.7913044408456	22.3800319505058	20.7594188257159	20.2846840466156	20.5982464647057	20.4797349186309	20.9339597774281	20.6668194953212	20.4008302339951	20.0990081990786	20.4969354210013	19.997014777105	19.9787692288094	20.9763449910321	19.6285211069151	19.7033074527264	19.8539333025323	19.6014419162645	18.2712132849405	20.4792150032313	19.0719014518057	19.2969870387486	19.8580518463306	20.1717573833095	18.9787096126599	20.4084487464643	20.3218231249662	20.5633099644111	20.4719552272935	20.4394811863335	20.5057382155874	20.9060126639337	19.6427703893476	-1.26324227458603	0.0104991942924222	0.146724636975947	TRUE
Creatine	Creatine	HMDB0000064	586	16919	C00300	7	CN(CC(O)=O)C(N)=N	1	24.1720030029822	21.9933154762759	22.6151784292406	23.6140708178095	23.9950749199071	24.5058517008018	24.1146188824817	23.246974589723	22.6367923615424	22.886570522764	23.5484905715581	24.5792649654282	23.4471982798878	23.2273439740556	22.4379640647742	22.9608879555586	23.6988491239712	24.2844826170086	23.8914120015692	23.4390284946193	21.9596349841329	23.8797154907468	23.3483245230737	23.5800462027279	23.0750423494116	22.7725921162859	22.1222287970759	23.1539820938887	22.5709535971189	23.5583474796827	22.9592664962679	21.7247443792353	21.6961510034834	23.2220511855857	23.4023014675407	22.9070224058961	23.3763473943268	23.512397957055	23.4539580864526	23.4821573307047	23.4455294394012	23.4794456355108	23.3427876692093	22.6519228230015	-0.690864846207802	0.116486088843969	0.227243353646432	FALSE
Cysteic acid	Cysteic acid	HMDB0002757	25701	21260	C00506	332	NC(CS(O)(=O)=O)C(O)=O	1	15.3870419825792	15.3796367594363	14.9014685360644	15.2707137637989	15.0523262878567	15.8483197122955	15.8251182565306	15.3270984860948	15.0108752375283	15.8212827630654	15.2955144429368	16.0121959422767	15.9202459958077	15.4207301898201	15.5198893429126	14.4035121453017	15.5751437798016	14.7389777006105	14.7047960508448	14.8469762098363	15.2264199624574	16.2312025994791	13.9362340925685	14.7440434622807	14.6547955070992	14.320967857683	14.4912658437748	15.1888609239864	13.6525992918097	15.5034193135777	13.95484613758	14.7793067216711	13.714699768418	14.7834449141417	15.026772161052	14.9892865566884	16.1521619857454	16.302251191125	15.9900084599502	16.1825788000913	16.2045294478114	16.2415928516562	15.2630831923757	14.5413927099252	-0.721690482450514	0.051968416112407	0.179263395970959	FALSE
Cystine	Cystine	HMDB0250712	595	17376	C01420	NA	NC(CSSCC(N)C(O)=O)C(O)=O	1	17.672920052313	20.4122228066619	18.5917986450359	17.018175514882	18.1954320215796	16.9120572468598	17.00773456742	17.5964815115389	18.7398429452703	18.027796013763	17.9368730645268	17.3711748665296	16.8656435828417	18.0867836376247	18.2904895905391	17.6193143869287	17.5508565597797	17.2966540557743	16.8288956162789	18.8368129951606	19.3335684626966	18.4268787879774	18.0325162135228	20.3210306155972	16.98926688346	18.0033130383144	18.2828498098286	17.7657828908877	17.3754406683896	18.3704328049213	18.209734793271	18.4438837629645	18.8811836778762	17.8311253712061	18.1501953203711	18.5370752415564	18.5897810353709	18.4308661233569	18.6674353132397	18.4919913765462	18.6338719138893	18.0349567197114	17.618290302248	18.3421996945409	0.72390939229285	0.0207400842845609	0.146724636975947	TRUE
Cytidine	Cytidine	HMDB0000089	6175	17562	C00475	3376	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	1	25.0683742140341	23.9899933547709	24.2858891604984	24.7012459856001	24.1680527029499	24.7211070776521	24.9171838860414	24.2558513435371	24.2339339071541	24.4334123480242	24.0801836191761	24.4662075090984	25.1549718786917	24.5658646427647	24.304252152664	24.4849385865506	24.403410769701	24.4044487290657	23.971183877637	23.9697331709151	23.6203216257151	24.5480505175508	23.7144329570132	23.8620557540459	23.9569879436631	23.6376137399313	23.7009697400916	24.2343307645029	23.9264156750924	24.115247247175	24.0027175801021	23.3530786363735	23.5624475733986	24.367329458579	24.2155681013914	23.3042663893237	24.2534661840714	24.1816711237013	24.2465836337011	24.1408807599463	24.2312708079268	24.2239474876248	24.552981126573	23.8009012898614	-0.752079836711587	0.00881577762715822	0.146724636975947	TRUE
dAMP	Deoxyadenosine monophosphate	HMDB0000905	12599	17713	C00360	3461	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	1	19.0745665630272	17.6619003508389	17.4736630798812	18.2526900036029	17.5573050768987	17.5773375030449	18.3718781904178	17.7826272654864	16.9231753309218	17.7990783284726	17.6278925565273	17.9044330420824	19.3056258626729	17.5982511224716	16.8646417558954	18.3254015664027	17.8931944323074	17.5416162255729	17.3755844451549	17.877520854792	17.0503147831714	17.9921605116613	16.700050176097	17.2148077236743	17.8287626085448	16.7742117505467	16.7885804331205	17.3176424958218	17.1682297353374	15.6698254031462	17.4154184706198	16.5254093976788	16.2283776223892	17.0509298538605	17.0762566302153	17.1124883125769	17.5368607755498	17.4424609986355	17.7339478166123	17.6299311586941	17.5723916418811	17.4918185109959	17.9214551608872	16.9014800478901	-1.01997511299707	0.0300941258196888	0.15276670210951	FALSE
dGMP	2'-Deoxyguanosine 5'-monophosphate	HMDB0001044	65059	16192	C00362	NA	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1	1	16.2443180750265	12.9551089534815	14.1847768669349	15.38485213621	15.3695961259713	14.0996773996364	15.2293508761648	15.0186123097052	13.9873567377834	15.3505115844579	15.1918897314419	14.9102318045837	16.7769084512537	15.3454564924618	13.0608787484359	15.5054734375337	14.8456153276918	14.6417676586467	14.475094148978	13.9691806797674	13.9295204605629	14.3217111100573	14.1030569939903	13.539274252391	14.8569879382548	13.89613429791	13.6866147433145	14.71269407267	14.4458857355736	12.0029838734606	14.8398658150889	12.0017907031241	12.6066957421312	14.7366913963518	14.7800129338174	13.5831793620599	14.4070155155701	14.8389985398906	14.9303471640297	14.620670550891	14.8482491183912	14.6005766812289	15.0293500193373	13.7580393254289	-1.27131069390842	0.1029296907005	0.211183330919991	FALSE
Dopamine	Dopamine	HMDB0000073	681	18243	C03758	64	NCCC1=CC(O)=C(O)C=C1	1	20.7656996743675	15.6879080659234	15.3683210671711	18.3654113198521	18.3210661719141	19.2962300445873	19.0910026278433	17.1396593886101	17.5844581495349	17.7132176023489	17.9225040246709	17.7493570859656	20.4129628010392	18.0417746940379	17.9535208587346	17.4796554395879	18.0472094731837	18.111285026402	17.0642220353917	17.8554086950766	17.7497372345123	18.5996642965577	17.0817664162842	18.5381271627716	17.9625253794502	17.1620414685914	17.0399247313715	16.8459229035508	17.3947228960229	18.0360818203083	17.8299637607063	17.1529261188633	17.3193993559165	17.973188957197	17.7643575455368	16.6912802085127	18.1121458328203	17.8935447210038	18.0477971930647	18.1059727797682	17.9102290374955	18.0867987341906	18.3410680488309	17.4551859911221	-0.885882057708784	0.100464813323036	0.209742329569146	FALSE
FAD+	FAD	HMDB0001248	643975	16238	C00016	6106	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2	1	18.3054886490371	15.4219917157287	16.2879354617442	18.6626635166486	17.6434208289033	18.1603908172016	19.2263341729633	18.669832724401	18.2733909302547	18.3444515519224	18.7583370609053	18.4234708788484	18.3684376646556	18.8055287231532	18.8291523673511	18.0149439520999	18.6833213860069	17.935331572421	19.0444309203246	16.8652144070171	16.6462603542377	17.0795709704475	18.4684866814325	16.7755432328197	17.5910799121066	18.6473022569734	17.7628848847489	19.059130754456	17.9241950226356	18.758398367807	18.4014551376764	18.2683434561653	17.8465495942376	19.0261996910684	18.7899337339105	17.5233942204505	18.122877309632	18.0899658212885	18.1045329064765	17.942069429898	17.9446434626625	17.9143201556881	18.439452610948	18.3093126389181	-0.130139972029827	0.654487431132553	0.714532149585081	FALSE
Folic acid	Folic acid	HMDB0000121	6037	27470	C00504	246	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	1	23.5995520264049	23.6841577319801	23.6063819069916	22.6211579310991	22.7461387738758	22.5892556774132	22.2500442427119	22.4832122668883	22.5432731067451	22.9697789195737	22.1688143613693	22.7039901558445	22.7593650789857	22.2303368319483	21.9124691655478	22.514281722884	22.4117802206967	22.358640981098	22.103530700653	22.9863289348924	22.8718834344084	23.427884916303	21.7534126018915	23.430041564146	22.8539428135192	21.6507887885304	22.1914082767178	22.007357687842	22.4176819361181	22.1196102456745	22.26838189315	21.8727499266384	22.3275000586626	22.0167813041505	22.1678447978362	22.4689355832067	22.6180267946119	22.5227931592894	22.5482711268531	22.4644660490906	22.5308926877741	22.5729440287133	22.3644790001934	22.1870322606074	-0.177446739585999	0.253143630918607	0.391221975056029	FALSE
GABA	gamma-Aminobutyric acid	HMDB0000112	119	16865	C00334	NA	NCCCC(O)=O	1	19.4060937482578	19.5997711690721	21.5205726681765	19.0451895818026	21.2232022185478	21.0135401980663	19.9197106275877	21.6321654736219	22.8072137077593	19.2910863209091	21.359229783358	21.2731382459139	19.7447749708164	21.6254614721357	22.949706808184	19.4608682613923	21.403605726378	21.3641126782075	18.9785159272982	20.4299917808655	20.5666058184352	19.6274986441841	20.6496992230086	19.3814181752522	18.6054777811028	20.5134855534497	21.2083951506769	18.9661518221675	19.5796504362351	20.7942500656965	18.9967530442207	20.003316626287	21.5888064720881	19.6898872771573	21.5211021629917	19.4476346855406	20.9755525699488	21.0590672997436	20.9611920459664	20.9234788176577	20.9712420413703	20.9061932653926	21.0914216528523	20.2079167113809	-0.883504941471418	0.231367452948011	0.382398984733518	FALSE
Glucosamine	Glucosamine	HMDB0001514	439213	47977	C00329	266	N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	1	20.6878230447083	20.6710336331597	20.9596168570294	19.8031313950629	20.423727037382	20.3849968791045	19.7469686146652	19.9718406444786	19.8283549584162	19.9694796015138	19.7407943571387	19.9824413961681	20.5022207850659	19.9353967409787	19.4389814764284	19.7003559332962	19.6139966014511	19.860733204355	19.2006739765888	20.3552531747359	20.3245183123321	20.61667709389	19.7011309814379	20.5972491002179	19.8007641891507	19.2427778868281	19.7344506580564	19.4348128554929	19.6594150788303	19.6909212481395	19.8650881270634	19.6213968099745	19.6734772695155	19.3449048572236	19.8118642010626	19.8597839401098	19.9669240396145	19.8159865837581	20.0236704337399	19.9434280076884	19.9619771104871	20.0430677853752	19.8419474569292	19.6960858674916	-0.145861589437665	0.419536518065435	0.520050475518612	FALSE
Glutamate	Glutamic acid	HMDB0000148	33032	16015	C00025	5174	N[C@@H](CCC(O)=O)C(O)=O	1	28.673466468868	27.5927196082465	28.1451624088331	28.3493533788836	28.6241466811091	28.8338164665686	28.5035740050697	28.2794577210838	27.7274473877288	28.2056204695617	28.3085410427675	29.0058461491517	29.0015177522755	27.8864864748953	27.575420564457	27.6443921119897	28.6261430270375	28.2194494605858	28.3389718351524	27.9857956633623	27.8368576609187	29.2980816971992	27.6523768198406	27.8639033083651	28.2934939843193	27.5621542419262	27.428264041334	27.6534865319988	27.3270904271531	28.2678937215342	27.6615906396218	27.2818415659823	27.1481475278734	27.6864734545223	28.2755912177953	27.7677439321219	28.5249658759885	28.623261426855	28.4353838503263	28.5301632087294	28.5469003227367	28.5176027494883	28.1589015652068	27.6368980563195	-0.522003508887302	0.0984451725567163	0.209195991683022	FALSE
Glutamine	Glutamine	HMDB0000641	5961	18050	C00064	5614	N[C@@H](CCC(N)=O)C(O)=O	1	22.2810941818419	22.5144666460763	22.8391574282555	21.7774400041712	22.3593457004562	22.3973237147174	21.8497851126262	21.816648802755	21.7623456348361	21.656019097124	21.7393953185301	22.0838604700991	22.03517108134	21.3888510750929	21.3305190143036	20.7040402715875	21.7530733899581	21.7127267476736	21.71270387564	22.1648958565402	22.3541314588792	23.0153514600467	21.1142550928709	22.3111015905597	21.973264737227	21.0107892307678	21.0887018842228	20.9005225671982	20.5140971844759	22.1865688787795	21.2363362449231	21.0885235399975	20.8987294740992	20.407121586901	21.8072369218025	21.2965450856459	22.1193565028765	22.2077010774956	22.0040235029852	22.1317155494032	22.134418962116	22.0137127017162	21.4873969299926	21.1224154755615	-0.364981454431089	0.202142864316496	0.343642869338043	FALSE
Glutathione-NEM	NA	NA	NA	NA	NA	NA	NA	0	26.8368969097693	24.2995129315171	25.1471826372745	27.0683489443874	26.7948947687642	27.3349327311718	27.0750824409223	27.0416968711493	26.5090520191772	26.1223049039244	27.0022041659221	27.181239100602	26.3505056463889	27.1860913752635	27.0242018625063	25.6925095403626	26.7535020659693	26.6468653777069	27.5839264213064	26.6831178288007	25.64687041494	26.5116996347166	27.2349160248169	26.274554808475	26.4535870459748	27.0765017248924	25.9640654630106	26.9918791559591	26.0448032318372	27.122986577109	26.5704176794805	26.2804330386971	25.8105440415042	26.887022216298	27.0207392132941	25.5644028306373	26.6969353167981	26.5821694304121	26.6910476760337	26.5561836655916	26.5410003727718	26.5369465109676	26.6089459780329	26.3555931699852	-0.253352808047708	0.45143145802532	0.542629732373869	FALSE
Glyceric acid	Glyceric acid	HMDB0000139	439194	32398	C00258	280	OC[C@@H](O)C(O)=O	1	13.1430437637863	10.4895431895222	8.7731880692313	12.6346694522321	12.3634316296472	12.519438295459	12.6507599443483	12.1640636333072	12.4422179041682	12.495280765943	12.7679819761234	12.9179952989483	12.9931243872314	12.119448515348	12.5901246996701	12.5478125874863	12.776011213201	11.6237792113778	12.0972984726329	12.3448747037003	13.4288654331747	13.7506775814894	12.8124505868916	12.3654229566077	12.5814399639808	12.7391880405249	12.4977018325188	12.812058144053	12.7923902908924	13.4744706837116	12.1587474833075	12.9007632499607	12.4324835353034	12.4740832581831	12.0639667842224	12.973946944051	13.1511740103904	12.6167585688259	12.9794341971417	13.0379806193924	12.9167173503922	13.1139430284702	12.4417167690524	12.5006652091713	0.05894844011892	0.820747730749914	0.856745438238945	FALSE
GMP	Guanosine monophosphate	HMDB0001397	6804	17345	C00144	6216	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1	1	24.6383925343161	21.3722535188157	22.6948147100941	23.8554668161642	23.6789984263408	23.420581794023	24.1092100031573	23.3937685604302	22.7489946534302	23.4040341880995	23.8349203041699	23.9596628658803	24.6518942470201	23.7366004122737	23.0506656107466	23.6371321269833	23.8424985225904	23.0919293439058	23.2201832262878	22.645999268344	22.2589999143214	22.4159466225491	22.7970379109973	21.3874672092567	23.8460897740055	22.7648100905168	22.6072395278736	23.2472772643954	23.1057853795701	20.0451745462002	23.3070342481718	21.4133036054589	22.1830258301445	22.9938540848414	23.378090494025	21.269135652466	23.1612217771524	23.1607606045297	23.3406227214443	23.2723924636795	23.2713288031495	23.2071162164638	23.6684533772533	22.4240739858512	-1.24437939140206	0.0240388847654671	0.151432547623119	FALSE
