	4010 Dish 0 cGy sGCR	4015 Dish 0 cGy sGCR	4026 Dish 0 cGy sGCR	4104 Dish 0 cGy sGCR	4106 Dish 0 cGy sGCR	4181 Dish 0 cGy sGCR	4010 Dish 50 cGy sGCR	4015 Dish 50 cGy sGCR	4026 Dish 50 cGy sGCR	4104 Dish 50 cGy sGCR	4106 Dish 50 cGy sGCR	4181 Dish 50 cGy sGCR	4010 Dish 100 cGy Gamma	4015 Dish 100 cGy Gamma	4026 Dish 100 cGy Gamma	4104 Dish 100 cGy Gamma	4106 Dish 100 cGy Gamma	4181 Dish 100 cGy Gamma	4010 Rotation 0 cGy sGCR	4015 Rotation 0 cGy sGCR	4026 Rotation 0 cGy sGCR	4104 Rotation 0 cGy sGCR	4106 Rotation 0 cGy sGCR	4181 Rotation 0 cGy sGCR	4010 Rotation 50 cGy sGCR	4015 Rotation 50 cGy sGCR	4026 Rotation 50 cGy sGCR	4104 Rotation 50 cGy sGCR	4106 Rotation 50 cGy sGCR	4181 Rotation 50 cGy sGCR	4010 Rotation 100 cGy Gamma	4015 Rotation 100 cGy Gamma	4026 Rotation 100 cGy Gamma	4104 Rotation 100 cGy Gamma	4106 Rotation 100 cGy Gamma	4181 Rotation 100 cGy Gamma	QC-4	QC-5	QC-6	QC-7	QC-8	QC-End
C6:0-carnitine	491282.1567	43893.22629	66382.72648	357190.5012	380787.6474	335584.9714	393698.6468	174054.6234	305676.1849	158955.983	247099.1351	345302.8073	417041.68	193033.2017	201829.0903	200340.144	185329.9371	170590.1213	250479.5843	249790.2311	213446.1002	165018.54	238681.3741	386279.2256	202504.7398	86318.74309	223610.6673	292461.3243	97425.82156	248726.1324	151541.0128	77269.35802	79762.01591	100245.5473	252308.9495	191441.0043	238487.5864	219730.2931	217043.4022	259813.2128	193423.8772	241573.6956
SAM	259081.1708	32356.36305	54721.77122	122131.7073	182000.8036	226030.0434	150130.4446	108841.5117	70611.16037	51443.7984	107430.7783	96252.57165	132515.0625	121123.7526	103103.0078	33166.10173	73832.66273	59964.45121	116285.6525	141754.7472	68222.62856	189019.9016	134402.5866	59755.57869	108610.5583	113352.173	60389.92278	82284.76384	31654.60213	73784.24739	89446.83835	19892.8725	42872.74296	68465.37926	103723.701	38376.84853	72476.88284	87523.98909	92306.09303	100401.7721	88082.54811	86621.75363
Methionine	57736486.08	38918074.61	32970720.25	42710230.84	35065375.8	37302620.52	39773917	40502558.43	38294704.11	35555413.46	31401159.37	28128988.92	37137099.46	31005203.66	31344163.54	22106588.4	22278554.9	27652627.28	24341490.7	40774969.62	29481777.65	38835283.81	21940807.77	43638322.49	24564047.9	24421156.76	15889527.37	31377202.46	15383255.52	42638562.33	28750267.17	33506219.14	19345451.45	18703985.44	27986570.14	21515058.11	35070162.44	35091584.23	34657077.85	31180241.41	28650677.42	27667910.84
Hexanoylglycine	5727.077427	3312.719097	4943.098028	7393.439353	4539.812188	6438.811749	5955.20569	6357.769091	8354.171104	7894.293503	8985.493248	4990.536627	856.6462249	6597.764463	8884.804067	3855.440352	3905.005238	4176.514338	3907.41155	4836.13915	2446.971584	3429.02845	4618.336331	3613.134569	4839.128772	6169.413105	7800.746002	3690.06494	3541.695751	1460.392716	4568.284701	6400.730232	5046.816411	4762.119268	6261.739179	5201.949925	7865.544747	5803.44823	6601.52114	7770.824022	7331.860126	7208.349026
Carnitine	174382.3468	59489.51398	96024.56071	128187.2422	121140.1499	129573.2894	187220.0472	96768.4504	50448.17373	80070.03804	80864.93682	117690.6692	120056.8931	90596.51854	66704.70702	57233.61963	50320.53001	79728.1212	89332.45844	120369.1344	58666.59655	117515.8837	66702.4095	43117.61319	76814.92022	47618.98622	59895.07581	73694.76978	59845.92525	67831.07328	61951.44296	34762.59542	40980.54637	86328.08177	47799.85998	27192.45827	77423.98463	70014.36469	62115.91931	79413.77634	86714.54518	75101.6348
5-MOT	176876.3849	19483.61539	27027.14731	129998.214	68972.83815	77010.85813	164098.6568	83338.92518	124404.9272	99659.22643	97434.86035	86112.78619	120161.6839	84215.56107	141351.3987	56707.5807	98155.46332	85951.35667	62982.4289	51320.03783	26476.93988	60426.67506	68722.43533	58606.3901	74295.72185	63070.48133	26671.54897	108362.8596	39655.86258	86911.28147	37707.18956	61449.98291	27521.48425	68953.37389	91680.04778	15046.41221	87968.48428	78913.53602	73109.76153	79003.42515	63020.50532	83331.04854
Targinine	99058.36388	24079.51141	30722.85007	53660.00912	44961.63973	62213.29347	51928.011	34849.25791	27422.07149	33389.08953	30790.53542	59032.20178	51948.3774	34719.39974	36328.07209	24676.9047	32643.96871	37727.01538	63903.47183	41189.05903	33201.65	99823.98483	40126.32691	40909.66762	49938.70333	32208.53568	27670.20003	52830.92892	20181.98588	95373.6737	41400.94427	21423.24981	23774.61546	29210.86351	30384.19178	21197.05161	43465.02737	31088.48348	37731.29482	37263.41967	35731.22759	41250.4888
N-Formyl-methionine	481.0575311	7277.004952	2150.478196	11940.04201	2189.508371	6542.784442	40450.70164	18227.6331	14627.24439	16354.21349	21332.82812	22728.62443	16670.71215	33169.81102	58519.03562	16388.62961	30173.52231	14073.09541	32366.70619	7134.382207	4201.856502	8752.862019	26325.59764	5367.514263	8736.627158	35192.20279	15082.42465	48083.28981	11995.35356	20712.79115	16619.24125	25888.55286	10353.68482	48251.46394	31126.15132	9006.4382	12773.23625	13265.93558	13176.68668	11381.3605	12065.66257	9563.334846
Arginine	89540021.88	56972237.92	40702783.85	58873112.42	55442728.81	67657941.86	39183806.05	53812493.3	50084752.5	42672308.76	42370259.35	30969837.74	53478517.94	46647858.49	37556769.67	34068426.06	25085080.66	30570568.3	25949808.47	51642323.8	44168176.58	63125697.75	29314521.54	70165152.72	41432293.61	28225111.91	23581188.13	38048559.37	19541754.52	62378208.06	41224255.15	38375468.84	22447911.16	24208695.82	32931415.04	35468966.14	51295816.95	48795953.85	48775476.54	46525763.74	38115743.25	39794542.73
Histidine	2516511.877	2058994.337	1470893.421	1545121.242	1596062.187	1394872.623	1464781.462	1170767.429	940467.4333	1433737.252	1045042.733	1310214.532	2078745.811	833335.1724	2592422.539	702446.5994	1072454.467	902082.2849	760165.0694	1420894.74	1586384.783	3528942.121	505371.5746	1276062.695	1009576.417	595041.1978	412760.8869	700744.3739	253904.0831	2939508.802	610271.5133	468663.1243	464556.7494	364555.0194	958225.2302	776085.2322	1510032	1796671.662	1409280.104	1611916.54	1248308.249	1515567.229
Hexanoylcarnitine	712370.7694	443125.927	324221.1874	368178.2565	634261.6487	668089.9045	355566.3795	219177.8699	463671.7213	245074.181	378154.5853	275913.6137	354154.736	258989.2276	228095.0215	106435.0906	234382.4369	241137.1425	347199.8346	429097.9069	316597.9773	237111.7564	308462.5621	708320.3428	161390.7833	136222.1553	235193.5988	403016.7954	203152.212	483166.0245	270925.3363	247157.5798	83718.73872	51215.36037	173217.8074	110096.9896	291333.1117	355539.9294	384862.2303	277606.9293	316705.3536	333689.8823
Taurine	1143707.436	276047.2044	313843.6004	698982.3452	621322.8621	760112.3257	994277.4407	718609.3655	884499.3312	533311.4302	1042731.232	620808.6537	876564.1877	812118.3189	912614.1167	457824.5464	521787.2186	598550.0968	626418.695	650611.1571	411416.2298	599185.7778	564607.5593	504251.4297	553210.4454	502958.3176	285615.3341	650862.1028	274605.4359	1232779.468	659403.7747	610148.2463	292634.7501	447605.1423	661770.3551	401416.8065	763436.8199	669550.133	712453.5565	673426.53	595270.219	536250.1296
Glyceric acid	9045.871356	1437.696253	437.5148179	6359.375808	5269.43158	5871.194337	6430.69943	4589.316639	5565.200324	5773.701336	6975.021633	7739.342541	8153.051356	4449.564781	6166.023616	5987.809415	7013.948942	3155.776266	4381.771303	5202.08661	11027.8615	13783.71906	7193.362468	5276.709907	6129.016885	6837.191131	5783.398639	7191.405991	7094.032827	11382.03329	4572.436703	7647.451039	5527.776366	5689.488568	4281.69639	8045.391685	9096.992891	6280.912992	8076.050391	8410.527774	7732.490017	8865.234196
Histamine	32778.13234	26860.99369	29711.31615	11587.59376	43196.69937	22494.17938	39421.31797	15792.85152	24624.62135	8688.445798	22954.54861	18955.40234	42059.98037	24440.57457	28698.95541	19221.51266	11779.3178	9646.981884	38332.54452	50157.77394	36270.74519	23025.50197	13446.85552	23718.22879	12347.84969	18950.34526	14645.1385	12821.90847	13122.00825	8073.374652	24568.2507	8138.667584	12877.94434	5555.490664	13982.08741	9840.046058	20945.63171	21265.2313	15780.45748	17284.76926	21893.16957	21180.46107
4-Guanidobutanoic acid	20423.20789	25371.1252	27891.16553	25111.9856	20850.80781	22313.12572	14524.0928	20270.89565	19347.86156	20177.49293	22719.67524	23071.68634	26876.93776	12042.23343	18070.98676	12650.64738	29802.28247	15960.96567	7927.798274	16001.1856	28478.08994	16404.74107	12425.32088	15305.49143	17123.94093	5400.255886	9547.33092	11807.98622	13431.67952	21678.65191	9260.215496	12474.01917	12125.13653	10915.00008	17462.22465	15302.41166	25678.77686	25420.84695	20756.81323	24563.19198	19099.26275	26890.59736
Hypotaurine	48863.73016	56588.58389	30262.34487	46942.26502	39000.05572	45982.96224	33897.754	18912.68195	30556.95274	35735.20128	50738.71664	25783.87618	39919.35146	32893.56221	58472.18216	42638.06537	39732.93528	27673.96182	38084.94035	48362.2609	31345.66381	33864.53011	31678.999	42572.07854	52784.4127	28154.08409	33027.89847	80170.06058	37122.7731	101549.0948	48162.3728	77595.41136	51998.21193	47418.04445	64658.67248	48064.19295	53742.0395	48729.70779	47352.8927	59538.20862	51763.54867	40071.20528
Phosphoenoylpyruvate	490240.5804	1948636.296	1607517.259	239158.5327	582305.3316	370700.5759	298178.6555	281567.0756	332080.5513	329208.1584	349633.4926	546349.168	574664.8305	377755.694	238840.5054	292818.6383	542635.9997	363589.1839	241777.0043	904954.8094	633830.2011	1403457.33	346156.891	1130177.715	931122.1649	503206.2196	754293.8801	264030.3155	481004.2151	791838.4897	543325.7364	560832.9862	355977.1342	372322.3767	683168.2628	696988.5036	658786.9293	631559.8835	579128.5398	576252.2278	717422.7375	483022.482
dGMP	77629.53767	7941.02187	18622.7288	42786.02808	42335.96419	17556.01028	38414.16772	33193.48094	16241.04382	41779.6152	37429.54088	30791.22842	112292.9984	41633.47883	8545.082755	46517.09677	29442.55654	25562.96673	22773.90627	16037.7116	15602.83385	20476.91999	17597.18443	11904.95257	29675.56625	15245.90634	13185.0438	26851.10933	22317.46798	4104.480374	29325.45384	4101.087197	6237.25593	27301.47727	28133.72444	12272.82169	21724.20129	29307.83016	31223.55452	25191.86919	29496.3561	24843.42878
UTP	444979.1556	1569.817438	181259.239	372963.135	647732.5361	1081308.278	470054.8466	543548.1611	270925.257	162976.4037	372439.7222	492299.4698	250503.9508	335699.121	268919.2835	60091.47422	422260.2044	157882.0931	947960.6485	418433.5441	135252.7133	1044554.805	281616.1781	282977.0539	424169.709	621731.3815	104604.8166	276554.9356	64953.59091	1373302.55	249960.4573	201640.3837	104053.4677	252484.2017	623819.0606	93314.03337	364193.8033	341198.4681	316430.1516	345263.1756	289229.4242	248794.9299
1-Methyladenosine	140701.644	90268.86821	122844.4198	77345.99491	77005.72545	67079.82425	83283.91617	63270.08275	68071.10815	54380.41729	57926.62717	75992.77393	71137.76315	73350.13031	58418.98909	52103.7319	41867.53822	80122.11935	64226.80202	51808.20063	78550.59226	84955.84181	50409.90566	95852.93571	73074.15385	38972.11209	34524.35331	60788.05504	24507.29586	80517.11523	52098.72803	65991.99575	36751.54915	45384.00933	86154.11558	50877.52281	78809.11246	72137.60488	82362.89314	77127.75148	68871.72494	54870.14893
Phosphoserine	23242.62186	2256.449901	14955.91495	28355.22526	11765.54881	9731.718244	12965.14697	28090.83872	8838.641755	8473.161247	7062.259612	8925.018976	17718.25909	10114.4135	8816.689357	12445.51197	11683.06952	5135.279449	8606.155	9883.990799	16583.73733	24337.9811	7592.524507	3525.386574	8761.670734	11082.49619	10010.73269	10373.36056	9385.652756	9081.788368	5537.405999	6107.449688	2945.088654	3205.649882	13543.72479	3634.557697	15263.45693	14628.75523	14716.14829	11523.30222	18098.724	15055.09287
GSSG	296920.2529	675538.1405	812307.259	96347.26758	762601.427	422321.8133	151500.1968	184561.1227	205211.791	131699.9937	233318.7764	446132.1594	148031.6217	263054.1255	324543.072	67074.12098	189977.8672	253045.2527	101840.2868	886281.6542	818002.6047	653053.8665	246411.7577	749659.6896	262184.0926	104669.2989	207349.2019	97877.65933	124487.7859	36314.01949	180301.0353	73243.00679	204800.9376	80021.25396	208124.1681	280390.3628	238752.5265	318303.9389	375649.6433	342872.0278	334376.2021	323634.1876
Succinyl-homoserine	33571.03447	27926.2136	31524.48716	17354.05647	25656.86979	27804.53075	22712.97307	13738.65243	30357.26793	13700.91357	16473.83303	15103.05806	26455.98787	17983.30941	21143.62649	325.592086	3484.423585	12143.32861	18791.20875	21610.2402	18025.97849	31351.43124	16324.41355	30261.06886	17715.24099	11491.54735	10538.85647	7749.109028	8564.874535	18820.24099	13076.44581	11629.1101	4762.160962	6249.031448	11277.37552	14101.59957	16786.4583	16457.26989	15542.18452	11711.2103	15082.618	18473.63999
Niacinamide	10537970.74	7715703.069	6325931.92	6637713.071	12656195.78	7682378.01	6633616.893	5094445.451	6610401.741	6119284.238	7450637.284	7873132.237	8525189.715	6079091.117	8365221.65	9805385.824	8167746.053	8769949.938	11187327.44	6616938.321	7336708.112	8720933.915	10791049.88	8350911.292	7813549.551	10400359.85	7035810.386	6812572.142	9186146.702	5600858.221	9134009.764	11244276.74	6389977.047	11628084.1	12709119.06	7986165.763	8798971.344	11793634.08	10945507.07	8153361.924	8984941.886	10713542.95
Cystine	208967.6442	1395376.302	395083.6574	132733.7308	300172.4449	123320.8529	131776.5894	198184.0746	437778.915	267243.6261	250920.8909	169529.2711	119416.576	278396.9032	320616.5984	201345.5954	192014.6098	160994.7431	116413.2394	468215.4435	660669.154	352405.9575	268119.4239	1309904.874	130100.4912	262746.6853	318923.2631	222860.7289	170031.2819	338884.1896	303163.1325	356584.3258	482839.3323	233186.6016	290906.3616	380378.2531	394531.5189	353381.2879	416349.4271	368675.3353	406775.1196	268573.3666
C8:0-carnitine	1981208.042	3380245.508	3438166.927	2518396.669	5300221.09	5063396.408	4559550.8	3179814.26	2607686.118	2950427.413	3994974.58	4233120.553	4932275.076	3677211.169	2465363.198	2429661.275	3835520.927	3689798.202	4431267.216	3287860.092	2384408.135	2747063.785	4258181.688	3455017.079	1897770.318	3547228.076	3238481.661	4919397.88	3047031.369	1020209.107	3487642.403	2623273.635	2068822.097	3834998.572	3235253.299	2904858.219	2206360.379	3043335.974	3406358.43	2878658.894	3100332.459	3476619.349
Norepinephrine	173781.696	149551.2602	112426.7349	19414.27489	175702.7814	227921.8458	306455.2056	186993.3936	13293.5163	190848.2118	149517.3096	149520.5222	241224.07	91184.45182	13284.92098	100408.4753	145906.2749	80016.44714	120738.5795	170389.2817	131837.8797	296074.0136	96963.98723	219647.631	87401.27618	82385.5709	11654.51546	15390.12426	12488.2673	17390.9324	155587.5231	13137.20891	12785.29293	13713.10924	120028.3151	108252.7624	103752.0562	161042.7911	163246.2476	158457.6186	139636.5716	161433.3937
ADMA	2501362.51	557407.4652	376011.9146	897333.7676	698845.8557	750225.1236	911667.7072	659711.1251	479720.8693	616081.0549	518450.0933	344774.5436	1107515.86	423137.8764	378361.1555	337537.7248	258616.3879	346062.1238	330841.9864	405603.5874	327771.8195	996917.5525	243946.3532	506531.9141	476441.7097	213085.8845	152603.5966	332860.2806	124108.331	755950.2561	381066.8445	249085.3238	126362.6141	226529.8158	323654.9862	127921.5795	572621.6373	560161.3189	506709.3924	508980.0404	420932.2218	376059.9598
Proline	656990102	202730040	83777553.31	488483534.1	273925857	361561665.7	542561350.7	421810383.6	409772081.5	364411280.9	363414963.5	254716155.9	381823307.2	346958231.5	438650976.1	239576860.8	178988990.4	213638619.3	327571575	292808314.5	171992844.4	253214108.8	226494736.6	324331140.7	261319284.4	299892252.8	96911764.25	395832968	49624205.99	588017378.7	241501869.9	293618981.9	82648370.12	215666641.3	287634733.5	81738338.95	420040031.4	385614523.9	340450769.1	354198695.2	297463763.8	256268653
ATP	8734553.919	1142926.481	2669323.381	6541704.019	4580994.129	8874880.644	8265717.708	6297650.612	7074618.789	3720918.127	6508465.682	4104843.492	3394532.467	7372054.942	5052682.303	2449240.251	7671929.247	3308957.166	9640950.854	3572630.607	1857995.991	8677210.924	5354850.697	4263773.827	4858064.948	8313298.214	3484098.896	5806535.309	2432665.627	14586135.23	4991455.974	6745138.6	2704467.703	5380566.253	7775760.17	2456470.769	5909456.79	5299866.41	6000522.378	4856341.409	3911154.378	4079225.002
Pyridoxal 5-phosphate	56566.82258	45269.81739	52733.92729	33571.71648	58896.69725	55458.58526	35256.61584	39007.13416	24855.75385	24072.40001	29486.00316	50855.24188	39304.68123	29264.95669	24655.47103	16541.95699	43795.42184	28637.86821	45896.89295	57111.60211	40789.72131	66932.16672	33908.90454	55305.14899	41014.55596	33433.97306	39483.01251	23362.62646	33278.65631	44788.75741	32593.57285	32163.17101	22748.50942	18205.48685	39144.1181	30840.11908	51673.48661	46473.61868	29758.83791	48049.87238	47168.98454	55503.18434
Lysine	21362411.79	11855657.56	5848259.28	15170670.47	10486562.22	12227474.71	10725399.77	14146277.72	17226753.09	17397695.07	12654688.5	8088671.545	10712171.04	14037114.68	18437895.29	9689796.858	3712450.578	111122.8473	6584504.336	13233709.62	8606659.195	10199062.3	9790409.845	14071569.54	9847345.264	15025710.11	6136282.565	21067058.56	100668.5231	29986625.97	13401278.8	17442367.35	6113443.37	8582383.344	13211826.12	10233931.29	16706961.9	15612723.13	12614722.38	12159274.99	9072110.106	9136089.972
