	4010 Dish 0 cGy sGCR	4015 Dish 0 cGy sGCR	4026 Dish 0 cGy sGCR	4104 Dish 0 cGy sGCR	4106 Dish 0 cGy sGCR	4181 Dish 0 cGy sGCR	4010 Dish 50 cGy sGCR	4015 Dish 50 cGy sGCR	4026 Dish 50 cGy sGCR	4104 Dish 50 cGy sGCR	4106 Dish 50 cGy sGCR	4181 Dish 50 cGy sGCR	4010 Dish 100 cGy Gamma	4015 Dish 100 cGy Gamma	4026 Dish 100 cGy Gamma	4104 Dish 100 cGy Gamma	4106 Dish 100 cGy Gamma	4181 Dish 100 cGy Gamma	4010 Rotation 0 cGy sGCR	4015 Rotation 0 cGy sGCR	4026 Rotation 0 cGy sGCR	4104 Rotation 0 cGy sGCR	4106 Rotation 0 cGy sGCR	4181 Rotation 0 cGy sGCR	4010 Rotation 50 cGy sGCR	4015 Rotation 50 cGy sGCR	4026 Rotation 50 cGy sGCR	4104 Rotation 50 cGy sGCR	4106 Rotation 50 cGy sGCR	4181 Rotation 50 cGy sGCR	4010 Rotation 100 cGy Gamma	4015 Rotation 100 cGy Gamma	4026 Rotation 100 cGy Gamma	4104 Rotation 100 cGy Gamma	4106 Rotation 100 cGy Gamma	4181 Rotation 100 cGy Gamma	QC-4	QC-5	QC-6	QC-7	QC-8	QC-End
Glutamate	428127856.8	202412003.7	296850727.7	341983950.4	413739277.1	478457807.6	380566677.9	325810469.1	222225231.3	309554988.9	332445139.2	539050856.6	537436011.2	248124073.6	199999418.5	209793118	414312189.9	312536503.2	339531888.2	265805490.3	239733729.1	660087344.4	210957453.4	244270314.8	328995813.4	198168750.9	180605181.3	211119783	168373567.1	323209356.4	212309051.6	163174634.4	148732792.7	216002602.6	324938447.9	228519800.1	386251655.6	413485479.8	362997368.9	387645643	392169017.7	384285353.3
Tyrosine	169890044.4	161208187.2	147531947.9	110291743.1	134887821.1	145650261.1	124681395.8	113291385.4	108082739.5	106630838.7	104787648.3	108244385.5	152069483.9	114792644.8	100377535.5	90377069.01	80556037.24	100089117.5	85901518.75	147681595.6	121693223.5	155597345.7	87881010.11	150571633.6	101503765.1	82174238.61	72662715.4	108848751.7	67238770.81	113273708.3	120399498.1	101674185.8	76407115.4	77161783.4	105287575.2	86340007.98	118567869.6	109435336.3	116502278.4	112051870.1	112219107.2	105278547.2
IMP	119314897.2	1187366.565	8503406.624	50975971.79	70432978.5	92652404.42	66846755.37	32736214.88	18740169.66	16155971.03	45075422.27	65903067.01	95340097.36	45921450.41	28046150.01	19657911.12	39081382.83	38513124.46	60111817.67	29500031.52	25561062.29	67566309.12	35314671.52	17033381.8	48968602.17	19582104.8	15193988.35	25254948.66	15854273.27	26175231.37	38700300.78	2583136.107	8317435.887	19455535.81	30859972.48	3659107.564	36050537.7	38489919.02	40964836.49	39890580.22	39452774.78	39527882.73
Alanine	54058427.17	22291713.45	14568769.63	20999423.31	20132348.87	24061096.32	33854399.72	15931468.07	14043563.9	19659839.78	17361050.87	17177172.22	33656047.53	14832830.89	12722777.33	15497347.55	14196764.83	15830310.36	16543743.88	18174624.47	10758658.87	23456512.71	11352780.33	20248090.73	13550748.12	14149794.26	7669449.484	17235332.63	9828468.013	15452725.29	15780371.64	14861547.8	8126379.672	11883970.63	15892442.98	9304001.026	19432258.54	19005925.82	18052858	18048141.13	19227173.79	17311861.88
C4:0-carnitine	166472.2709	2199.237145	6204.334868	175777.991	102369.6456	187969.1957	256364.5443	107538.665	72276.33295	86525.35878	93448.27068	174768.9666	152012.7479	116595.4879	77718.90088	64167.73138	114566.301	88066.00731	160981.3605	71910.98579	41461.54933	47501.54631	104547.0254	62537.46667	64978.11877	82857.58312	58622.44757	113820.4036	65249.24707	56742.32649	64305.08893	28222.40182	29658.7877	95246.48673	68772.4705	41063.81926	108728.4419	104069.4069	104206.8917	95196.05732	106820.2075	105628.7905
AMP	174438741	36873647.64	72905418.62	124835582	96182503.71	88544334.7	136843976	86113778.58	53406955.74	69643811.01	92133184.69	88195472	168616885.5	82504110.83	67475296.74	94010563.36	94575944.58	65189371.54	84937397.33	61739362.73	51816574.96	30954043.54	63712120.01	37393016.67	106553605.3	58690052.09	59958806.81	74477501.94	86316394.16	6711753.534	74160316.06	26797002.32	40529886.91	47459341.05	70145125.38	21665101.62	74962297	70136768.37	80577666.98	74135085.56	75709469.9	77102473.52
Isoleucine	13221503.8	9792159.495	7496704.94	8073994.866	8452287.859	8911648.542	9207334.01	8253815.092	7399485.664	7364946.558	7118491.754	7017210.61	10108896.82	7118128.672	7430618.824	5993835.893	5856195.394	6959230.437	6404646.727	9669836.292	7916283.568	8970645.111	5871736.288	10710014.89	7037246.459	5391623.373	4449798.249	7335621.442	4603294.504	8592207.919	7797427.417	6623541.524	5163891.575	5064898.44	6872006.728	5886028.048	8435471.042	7698502.517	8002607.287	7937353.333	7544164.155	7445390.285
Adipic acid	29181.09179	67530.47223	69653.63112	93119.49892	83969.55314	368443.7434	54850.24094	86535.64674	64882.37657	167927.0311	116822.9604	163050.1479	111311.8727	37518.68293	628192.8998	47992.02734	84444.79949	77164.65041	119469.0319	30058.08258	51301.93992	81604.29412	175606.5258	69021.48281	85039.75053	63722.27816	80114.5877	71668.32118	43952.33063	65635.78044	63419.31004	61647.95904	130800.9707	55158.59933	75401.16959	147959.4373	169630.5736	178175.8161	154345.4172	172167.5812	170600.8776	168836.9614
Aspartic acid	58867063.19	49446849.5	51181753.8	51728731.71	51057650.54	59162746.98	43660254.42	67852343.26	48811513.7	44728865.4	57100483.67	58888566.4	50110585.46	67613866.18	45889052.34	34998293.74	46897587.56	46833062.89	52099795.33	62932348.23	36875092.98	56207969.87	49722236.89	62143608.83	53888467.86	66847689.99	34209246.05	49713506.94	34631561.47	63416982.75	55585019.99	49439378.83	31394913.5	41235181.75	62644286.55	34769165.58	50400027.28	44217988.05	46787817.29	44421836.53	47226016.87	47083612.76
Phosphocreatine	181249.2875	124930.8564	188151.5693	185142.6996	221191.8904	449799.2842	246681.1425	186290.3607	99438.2693	137741.6775	231323.2028	528462.3053	212279.5248	137850.6343	113289.2271	129785.9672	365232.9669	354555.5133	386164.5977	131189.2403	79732.93784	250495.035	228117.6757	234407.6401	221248.1443	199780.5696	100028.7649	135863.1381	139844.9628	331104.9997	138478.7194	112807.8885	90183.67465	181750.8014	250023.9599	213549.3398	286245.0568	266838.3186	250292.2092	265626.8176	270375.1791	253008.2619
3-(3-hydroxyphenyl)propanoic acid	75566.01434	63035.6906	73390.46937	101888.6386	53133.45479	94144.79191	91337.40235	81366.84469	73512.74566	94829.44029	95953.17321	132419.2784	112914.5219	71961.90839	85780.98013	67053.97354	99022.14068	104638.6292	97054.3416	59918.51556	54563.52434	110622.0866	68330.36016	62967.23776	87085.78745	51346.40075	66954.8006	68540.66496	31332.48644	151007.2791	61513.00142	62819.81857	63238.35062	53560.76155	97210.17648	78570.45461	119473.2502	123161.3254	109271.3318	116684.5983	111423.4665	109708.5526
GMP	26115310.74	2714497.113	6789221.436	15177878.51	13430395.24	11227876.73	18096533.15	11021128.05	7049036.541	11099829.56	14963250.82	16314629.24	26360862.65	13977474.84	8688439.25	13046252.56	15042056.89	8940532.583	9771734.44	6563342.403	5019109.235	5595930.533	7287729.148	2743273.835	15079547.21	7126736.19	6389357.918	9956983.194	9026813.56	1081929.112	10378065.77	2792844.087	4761635.742	8352948.34	10902007.59	2527247.719	9380424.475	9377426.403	10622519.98	10131837.19	10124370.01	9683627.922
Acetylcarnosine	342375.7708	95037.47286	111512.3503	257588.1078	286233.3408	291738.1132	561029.863	238537.5821	157879.8801	186959.8783	263819.2103	252771.3962	335729.336	316584.3549	249972.427	162593.997	214026.5704	214047.4357	282036.1493	213967.1796	131832.74	260569.0113	157589.7692	147601.8784	117528.9102	165490.1287	96796.02172	190771.3687	90689.93545	415818.6062	187131.7605	125229.4349	111032.1571	232364.444	228890.5422	123272.0065	206959.2121	226338.7452	220802.9874	210990.6011	198366.5065	222557.9575
Phenylacetic acid	265419.6836	259137.0657	216111.7785	174044.8308	225901.6945	220609.5623	218108.4853	182847.3551	192268.7411	178405.8449	157185.7433	200349.2805	243176.1967	203777.0705	156673.2834	157473.0137	133590.0363	163339.8575	173148.5234	251164.3738	217115.0282	279189.851	168494.3829	250143.1073	188181.2991	121850.6896	123914.9454	195064.464	143046.6985	175805.1674	201147.0716	154634.7751	131559.4264	145380.9772	164844.8208	143368.1811	192690.0854	166963.3087	184441.3723	183785.4402	186339.2644	173990.8747
Citrulline	1497893.334	1791629.328	1486856.729	1508113.572	1538198.712	1743874.646	1777171.077	1458854.961	1052571.67	1608709.084	1818187.742	1453314.041	1968590.911	1760014.326	1685396.843	1543903.619	1465213.333	1858161.373	1276503.041	1763651.987	1157315.498	1798022.459	1792364.474	1168100.46	1206016.764	1254184.912	1754409.879	1700733.766	1843038.124	1271513.758	1544013.504	1399816.77	1562585.496	1741839.717	1589434.902	1341762.439	1354414.768	1491295.959	1480344.782	1572495.035	1464980.188	1404668.278
